Key Prefix,Object Type,Notes
0hr,RecordsetFilterCriteria,
0ht,Hashtag,
0hx,BulkApiResultEvent,
0hy,CallCoachConfigModifyEvent,
0iA,SurveyVersionAddlInfo,
0iJ,ShiftTemplate,
0iK,SurveyEngagementContext,
0iR,ProductServiceCampaign,
0in,KnowledgeableUser,
0j5,ApiAnomalyEvent,
0j6,ApiAnomalyEventStore,
0j7,AppUsageType,
0j8,AppUsageAssignment,
0jd,ManagedContentSpaceResource,
0jk,ManagedContentDeployment,
0jl,ManagedContentDeploymentItem,
0jp,JobProfile,
0jv,CdnDomain,
0jx,InteractionScheduledPath,
0k8,IdentityProviderEventStore,
0ka,UserListPreference,
0kb,ManagedContentExportJobItem,
0kt,ApexTypeImplementor,
0mV,SalesWorkQueueSettings,
0mt,ManagedTopicLocation,
0n3,FinanceTransaction,
0nU,InteractionStageStepAssignee,
0ns,ProcessNodeSecurity,
0ob,ShipmentItem,
0pr,Recommendation,
0ps,RecommendationReaction,
0rB,ReportResultBlob,
0ri,InteractionStageItemParam,
0rp,RemoteProxy,Remote Site Setting to allow access to an external URL.
0rs,ChatterAnswersReputationLevel,
0sa,ChatterAnswersActivity,
0sg,RecommendationStrategy,
0sn,RecommendationStrategyNode,
0sp,ServiceProvider,
0sr,ScheduledRecommendation,
0t0,TagDefinition,
0tG,TaskGroup,
0tR,TopicRecordSetting,
0tS,TopicSuggestionSetting,
0ta,TopicComputeStatus,
0te,TopicUserEvent,
0tg,TopicGroupActivity,
0tn,TopicNameChange,
0tr,TrendingTopic,
0ts,ProcessTransitionSecurity,
0tu,TopicUserActivity,
0up,UserPermissionAccess,
0ur,UserRecSummary,
0v8,PlatformEventChannelMember,ChangeDataCaptureEntity
0wt,ManagedContentSpacePermission,
0xt,StrategyContextArgument,
0yp,LearningContentItemProgress,
0zF,DashboardSnapshotItem,
0zf,DashboardSnapshotResults,
100,UserLicense,
101,ExternalString,Custom Label
102,FeatureLicense,
10y,TaskRecurrenceException,
10z,EventRecurrenceException,
110,ObjectPermissions,Doc
111,EventComments,
112,ProposedEventTime,
113,ProposedEventResponse,
11a,DBCThumbnail,
128,LightningMessageField,
129,LightningMessageChannel,
130,Address,
131,Location,
149,OpportunitySplitType,
19i,EmbeddedServiceBranding,
1AB,CleanAccountBackup,
1AR,AssetRelationship,
1CA,AccountCleanInfo,
1CB,CleanContactBackup,
1CC,ContactCleanInfo,
1CF,PathAssistantStepInfo,
1CL,LeadCleanInfo,
1CP,PathAssistant,
1CS,PathAssistantStepItem,
1DS,DigitalSignature,
1DW,DigitalWallet,
1ED,EncryptionStatistics,
1EF,DataDotComFieldSetting,
1EH,EncryptionFieldHistoryStatistics,
1EM,EntityMilestone,
1EP,EncryptableDataProblem,
1ES,DataDotComEntitySetting,
1ET,EncryptionFeedTrackingStatistics,
1EV,EventType,
1Ep,EventTypeParameter,
1FS,CleanFieldSettingOld,
1GS,ExpressionFilter,
1HA,FieldHistoryArchive,
1HB,LoginEvent,
1HC,PlatformEventMetric,
1JS,CleanJobSetting,
1L7,ComparisonSummary,
1L8,ComparisonResult,
1LB,CleanLeadBackup,
1LT,LimitsTracker,
1MA,MaintenanceAsset,
1MC,MetaMindConnection,
1MP,MaintenancePlan,
1Mc,PersonAccountMetrics,
1NR,NamespaceRegistry,
1OO,OutOfOffice,
1OZ,CaseExternalDocument,
1PI,PaymentIdempotent,
1PL,PaymentLineInvoice,
1QQ,BatchApexErrorEvent,
1QR,ConcurLongRunApexErrEvent,
1RL,ReleaseUpdateStepLog,
1RS,ReleaseUpdateStep,
1RU,ReleaseUpdate,
1S1,MenuItem,
1SA,StampAssignment,
1SR,ServiceReport,
1ST,Stamp,
1Sl,ServiceTerritoryLocation,
1U7,AppCapabilityConfig,
1U9,LearningUserSummary,
1V4,Expense,
1WK,LinkedArticle,
1WL,WorkOrderLineItem,
1XO,ExternalServiceOperation,
1XP,ExternalServiceParameter,
1Xl,ExternalServiceListType,
1Xm,ExternalServiceMapType,
1Xo,ExternalServiceObjectType,
1Xp,ExternalServiceProperty,
1Xt,ExternalServiceDataType,
1Xx,ExternalServiceSimpleType,
1YZ,PrivacyConsent,
1ZE,ComputedComponentMetadata,
1bm,BranchMerge,
1br,Branch,
1cN,MessagingChannelSkill,
1cb,ChangeListBranch,
1ci,Integration,
1cl,ChangeList,
1cm,ServiceCrewMember,
1cr,ServiceCrew,
1dc,MetadataContainer,from the Tooling API
1de,IDEWorkspace,
1do,ApexExecutionOverlayAction,
1dp,IDEPerspective,
1dr,ContainerAsyncRequest,from the Tooling API
1gh,GitHubRepositoryLink,
1gp,GtwyProvPaymentMethodType,/GitHubPushOperation
1mr,MetadataRevisionTemplate,
1o1,LightningToggleMetrics,
1pm,PartitionLevelMember,
1ps,PartitionLevelScheme,
1rX,BriefcaseRule,
1rY,BriefcaseDefinition,
1rZ,BriefcaseRuleFilter,
1rp,Repository,
1rr,ResetAsyncRequest,
1s2,InteractionCollectionProc,
1sa,StagingArea,
1te,TimeSheetEntry,
1ts,TimeSheet,
1vc,VersionedContentEntity,
1w1,ShiftPattern,
1w2,ShiftPatternEntry,
1w5,AppleEcKey,
1w6,LearningContentItem,
200,ChunkableTask,
201,ChunkableEntityTally,
202,ChunkableEntityChunk,
203,ChunkableEntityTally2,
204,SfdcPartner,
205,ChunkableEntityChunk2,
208,SFDC_DIVISION,
20A,DashboardCompColResult,
20X,LocationTrustMeasure,
20Y,ManagedContent,
20Z,ManagedContentResource,
21Z,LearningEarnedAward,
23N,ProductServiceCampaignItem,
26Z,EmailRelay,
2AS,ActiveScratchOrg,
2BM,DataflowTriggerSource,
2CE,ChunkableTask2,
2Ca,CustomHelpMenuItem,
2Cx,CustomHelpMenuSection,
2ED,EncryptionStatisticsChunk,
2EH,EncryptionFieldHistoryStatisticsChunk,
2EP,EncryptableDataProblemChunk,
2ET,EncryptionFeedTrackingStatisticsChunk,
2FE,CleanFactEntityClaim,
2FF,CleanFactFieldClaim,
2LA,PermissionSetLicenseAssign,
2Pd,PermissionDependency,
2Pe,ProcessException,
2SB,ApiTaskResult,
2SR,ScratchOrgInfo,
2ZC,WaveSyncOut,
2ai,AIMetric,
2hf,PersonalizationResource,
2kA,FinanceBalanceSnapshot,
2mn,AIError,
2mp,AIState,
2oN,ReturnOrder,
2pc,PackageConversion,
2wz,TimeSheetTemplate,
300,FlowDefinition,InteractionDefinition - Visual Workflow or Flow
301,InteractionDefinitionVersion,
302,FlowTestCoverage,
303,FlowElementTestCoverage,
307,InteractionScreenFieldParam,
308,InteractionCondition,
309,InteractionOperand,
30A,InteractionAllocator,
30C,InteractionChoice,
30D,InteractionDecision,
30F,InteractionForm,
30L,InteractionConnector,
30Q,InteractionQuestion,
30R,InteractionReference,
30S,InteractionStatement,
30T,InteractionDynTypeMapping,
30V,InteractionVariable,
30W,InteractionWait,
30X,ProcessPlugin,
30a,InteractionAllocation,
30c,InteractionConstant,
30d,InteractionDataColumn,
30e,InteractionWaitEvent,
30f,InteractionFormula,
30g,InteractionLayoutGroup,
30m,InteractionApexCall,
30p,InteractionWaitEventParam,
30r,InteractionResource,
30t,InteractionTodo,
30v,InteractionValueList,
310,InteractionLayoutDetail,
31A,Subinteraction,
31C,SubinteractionVariableAssignment,
31S,InteractionSwitch,
31V,InteractionFieldValue,
31c,InteractionChoiceLookup,
31d,InteractionDataSource,
31i,InteractionDataInput,
31o,InteractionDataOutput,
31v,InteractionValueListEntry,
31w,InteractionFieldMetaData,
31x,InteractionStage,
31y,FlowStageRelation,
31z,FlowRecordRelation,
32A,InteractionStart,
34L,ManagedContentNode,
365,FlowElementSubtype,
39d,InvoiceUsageMetrics,
3AM,EmbeddedServiceAppointmentSettings,
3CL,EmbeddedServiceCustomLabel,
3Ca,ChannelAccountMetrics,
3DP,EventDeliveryData,
3DS,EventDelivery,
3Db,EventDelivery,
3Df,FlexipageFieldInstanceProperty,
3Dp,EventDeliveryParam,
3Er,EmbeddedServiceResource,
3FC,EmbeddedServiceFlowConfig,
3FL,EmbeddedServiceFlow,
3HP,EventSubscriptionHandleData,
3J5,ProfileIpRestrictionMetrics,
3JK,PlatformEventSubscriberConfig,
3M0,DataDotComCleanMetrics,
3M1,OrgObjectsMetrics,
3M2,OrgStandardObjectsMetrics,
3M3,ChatterMetrics,
3M4,ChatterOrgWideMetrics,
3M5,NetworkCustomerLoginMetrics,
3M6,NetworkPartnerLoginMetrics,
3MA,PermissionSetMetricsByOrg,
3MB,DataDotComSocialMetrics,
3MC,OpportunityMetrics,
3MD,ContentMetrics,
3ME,CustomObjectUsageMetrics,
3MF,SharingRowCauseMetrics,
3MG,SharingMetrics,
3MH,IdeaMetrics,
3MI,UserDimMetrics,
3MJ,PermissionSetLicenseMetrics,
3MK,OpptyAndPricingMetrics,
3MM,ChatterGroupConMetrics,
3MN,ChatterUserNetworkMetrics,
3MO,QuickActionMetrics,
3MP,ForecastingTypeMetrics,
3MQ,VisualforceMetrics,
3MR,EventLogFileMetrics,
3MS,DataDotComListPoolMetrics,
3MT,ProcessMetrics,
3MU,DeclarativePlatformMetrics,
3MV,SharingUserMetrics,
3MW,PlatformOrgObjectMetrics,
3Mi,SharingPortalMetrics,
3Ml,InteractionLanguageMetrics,
3Ms,EmbeddedServiceMenuSettings,
3Mt,InteractionTranslMetrics,
3N1,ExtIdentityLoginMetrics,
3NA,CustomObjectUserLicenseMetrics,
3NB,LayoutDefinition,
3NC,DialerMinutesMetrics,
3NO,OpportunitySplitMetrics,
3NS,SandboxOrgDimensionMetrics,
3NT,SandboxDimensionMetrics,
3NU,DataDotComCleanPrefMetrics,
3NV,TwoFactorMetrics,
3NW,NetworkPowerCustomerLoginMetrics,
3NX,LightningComponentMetrics,
3NY,ChatterUniqueContributorDailyMetrics,
3NZ,ChatterActivityDailyMetrics,
3PP,EventParameterData,
3PS,EventParameter,
3PX,ProcessPluginParameter,
3Pb,EventPublication,
3Ph,EventPublicationHandle,
3Pp,EventPublicationParam,
3Ri,LearningContentProgress,
3SP,EventSubscriptionData,
3SR,ShapeRepresentation,
3SS,EventSubscription,
3U2,ActionOverrideInfo,
3Ys,SetupAssistantStep,
3ad,FlowVariableView,
3cd,FlowApexClassDescriptor,
3dd,FlowDefinitionView,
3ec,EmbeddedServiceCustomization,
3la,AnalyticsLicensedAsset,
3mK,LightningUsageByBrowserMetrics,
3mi,EmbeddedServiceMenuItem,
3pc,Product2CriteriaSharingRule,
3pd,FlowApexClassPropertyDesc,
3pf,Product2SharingRuleFilterItem,
3qb,DmUser,
3qc,DmPermissionSetAssignmentMetrics,
3qd,DmPermissionSetMetrics,
3qe,DmProfileMetric,
3qf,DmUserCustomizationMetrics,
3qg,DmUserLicenseMetrics,
3qh,DmUserLoginMetrics,
3qi,DmUserRoleMetrics,
3tt,Invoice,
3uC,ManagedContentNodeRendition,
3v1,OrgMetric,
3vd,FlowVersionView,
3zl,ExpenseReportEntry,
400,ApexClassMember,
401,ApexTriggerMember,
402,ApexPageMember,
403,ApexComponentMember,
404,WorkflowRuleMember,
405,ValidationRuleMember,
406,WorkflowFieldUpdateMember,
407,WorkflowTaskMember,
408,WorkflowAlertMember,
410,WorkflowOutboundMessageMember,
412,CustomFieldMember,
413,ContentLogMetricsByFileType,
42C,FlowSaveTrigger,
48D,LearningAward,
4A0,PendingChange,
4Dr,PromptError,
4F0,ApexClassVersion,
4F1,ApexTriggerVersion,
4F2,ApexPageVersion,
4F3,ApexComponentVersion,
4F4,CustomFieldVersion,
4F5,EntityDefinitionVersion,
4M5,NetworkCustomerDailyLoginMetrics,
4M6,NetworkPartnerDailyLoginMetrics,
4NA,CooperSettingsMetrics,
4NB,SupportOrgWideMetrics,
4NC,LightningServiceMetrics,
4ND,UtilityBarMetrics,
4NW,NetworkPCustDailyLoginMetrics,
4V3,WarrantyTerm,
4Wz,Package2UpgradeExport,
4XF,BatchApexErrorEventBatchJobId,TBC - The unique ID of the batch job that fired the event from BatchApexErrorEvent.RequestID
4YL,Image,
4Zu,AnimationRule,
4ci,CompactLayoutItemInfo,
4cl,CompactLayoutInfo,
4co,SearchLayout,
4dt,DataType,
4fe,FieldDefinition,
4fp,UserFieldAccess,
4ft,ServiceFieldDataType,
4hy,MyDomainDiscoverableLogin,
4ie,EntityDefinition,
4nK,AssetStatePeriod,
4nL,AssetAction,
4nM,AssetActionSource,
4pb,Publisher,
4pv,PicklistValueInfo,
4sr,Service,
4st,ServiceDataType,
4sv,ServiceVersion,
4v2,ProcessExceptionEvent,
4ve,ApexPageInfo,
4ws,WebServiceDefinition,
4wt,WsdlDataType,
4xo,AssetWarranty,
4xs,XmlSchema,
500,Case,
501,Solution,
50g,CreditMemo,
50r,ApiTask,
550,Entitlement,
551,EntitlementTemplate,
552,SlaProcess,
553,Milestone,
554,SlaProcessFilter,
555,CaseMilestone,
556,SlaProcessFilterItem,
557,MilestoneType,
558,MilestoneCondition,
559,MilestoneTimeTrigger,
560,MilestoneTimeAction,
561,MilestoneSuccessAction,
562,TimeStop,
563,SlaProcessPushRule,
570,LiveChatTranscript,
571,LiveChatVisitor,
572,LiveChatDeployment,
573,LiveChatButton,
574,QuickText,
577,ConversationContextEntry,
5CS,ChatSession,
5H0,ActiveProfileMetric,
5H1,ActivePermSetLicenseMetric,
5H2,ActiveFeatureLicenseMetric,
5LH,BriefcaseAssignment,
5ML,MacroUsage,
5OU,ManagedContentVersion,
5Pa,SessionPermSetActivation,
5QL,QuickTextUsage,
5Sp,SegmentSpace,
5TV,InvoiceLine,
5Uj,ProductWarrantyTerm,
600,BILLING_DIVISION,
601,BILLING_ORDER,
602,CURRENCY,
604,PLAN,
605,PRODUCT,
606,BILLING_ORDER_ITEM,
607,PLAN_PRODUCT,
608,ForecastShare,
625,ProcessPalette,
62C,LightningUsageByAppTypeMetrics,
6AA,AssociationQueueItem,
6AB,EventAssociationItem,
6AC,MailAssociationItem,
6AD,TaskAssociationItem,
6At,PersonalizationTargetInfo,
6Au,Audience,
6BX,AIDataDefinition,
6EB,EngagementHistoryRollup,
6S9,AIApplicationConfig,
6SS,SegmentSpaceChunk,
6TS,IframeWhiteListUrl,
6ZC,DashboardComponentReference,
6e8,MLField,
6f3,InteractionSteppedStageItem,
6g5,ExpenseReport,
6gt,MLPredictionDefinition,
6mX,OrgMetricScanSummary,
6pS,PartitionStatus,
700,MetadataChangeTemplate,
701,Campaign,
707,AsyncApexJob,Doc
708,BatchApexRelationship,
709,ApexTestQueueItem,Doc
70a,AssetShare,
70b,AssetOwnerSharingRule,
70c,AssetCriteriaSharingRule,
70d,AssetSharingRuleFilterItem,
710,LoginIp,
711,ApiLoginKey,
712,LoginIpEmail,
713,ClientBrowser,
714,ApexCodeCoverage,
715,ApexCodeCoverageAggregate,
716,ApexOrgWideCoverage,
729,Photo,
737,FieldHistory,
750,AsyncApiJob,Bulk Query Job
751,AsyncApiBatch,Bulk Query Batch
752,AsyncApiQueryResult,Bulk Query Result
753,TempStore,
754,AsyncApiJobOptions,
766,UiStyleDefinition,
777,UiStyle,
7Ce,DataflowTrigger,
7EL,SoftLimitsApiUsageMetrics,
7Eh,LinkedInLeadGen,
7Eq,LeadConvertMapping,
7Er,LightningComponentTarget,
7FG,ManagedContentTypeSearchBlackList,
7MM,LightningOnboardingConfig,/LightningOnboarding
7dR,LearningContent,
7dl,DebugLevel,
7fc,MaintenanceWorkRule,
7iv,SoftwareProduct,
7ov,NetworkDiscoverableLogin,
7pV,LightningUsageByFlexiPageMetrics,
7tf,TraceFlag,
7tg,S2XGoogleServiceAccount,
7ud,OauthCustomScope,
7ue,OauthCustomScopeApp,
800,Contract,
801,Order,
802,OrderItem,
803,INVOICE,
804,INVOICE_ITEM,
805,PAYMENT,
806,Approval,
807,URI_BLOCK_RULE,
80D,OrganizationValue,
810,ServiceContract,
811,ContractLineItem,
817,S2XTransaction,
820,S2XRecordMap,
822,S2XUserMap,
823,S2XServiceAccount,
824,S2XTransactionLock,
825,S2XEventRecordMap,
828,ActivityRecurrence2,
829,ActivityExtension,
82B,ActivityRecurrence2Exception,
873,MLModel,
874,MLModelMetric,
876,MLModelFactor,
877,MLModelFactorComponent,
886,OauthClientRegistration,
888,OauthConsumer,Remote Access
889,OauthConsumerAsset,
8BM,ExpressionFilterCriteria,
8D3,RevenueElement,
8GR,CareDeterminant,
8Kk,PlatformEventUsageMetric,
8Z7,AlternativePaymentMethod,
8dy,MetricsInMQMetrics,
8gZ,FlowInterviewLog,
8gt,MLFilter,
8lW,ContactPointAddress,
8wk,DashboardSavedView,
8yy,ApexTestRunResultMetrics,
906,Question,
907,Reply,
910,QuestionSubscription,
911,QuestionReportAbuse,
912,ReplyReportAbuse,
918,ChatterServiceSiteSetting,
99Q,LearningRank,
9BV,PackageBooleanValue,
9D9,CustomObjTeamMemberMetric,
9DV,PackageDateValue,
9EW,IotActivityLog,
9EZ,IoTActivityLogEvent,
9NV,PackageIntegerValue,
9Pt,ManagedContentNodeRefTree,
9Pu,ManagedContentSpaceFolder,
9Px,ManagedContentSpaceFolderMember,
9Py,ManagedContentFolderLink,
9UX,OrgDomainLog,
9V6,RedirectWhitelistUrl,
9Vl,ContactPointEmail,
9XN,GenericContentFolderMember,
9XP,GenericContentFolder,
9aM,OrgMetricScanResult,
9bq,AIInsightFeedback,
9gd,ServiceSetupProvisioning,
9jr,StrategyMonthlyStats,
9qb,AIRecordInsight,
9qc,AIInsightValue,
9qd,AIInsightAction,
9s4,IPAddressRange,
9s9,InteractionCollSortOption,
9ss,InteractionSteppedStage,
9tv,PaymentAuthAdjustment,
9xb,GenericContentFolderItem,
9xc,AIInsightSource,
9yZ,LicenseManagementOrgCertificate,
9yx,CreditMemoLine,
9zO,MLMigration,
9zx,PaymentGroup,
9zz,SqlInfoPfes,
a00,CustomObjects,Starts incrementing from a00
e00,PlatformEvents,Starts incrementing from e00
h00,HistoricalTrending,Starts incrementing from h00
kA#,KnowledgeArticle,
ka#,KnowledgeArticleVersion,
ka0,Article,Knowledge Article
m00,CustomMetadata,Starts incrementing from m00
z00,BigObjects,Starts incrementing from z00
X00,PermissionSet Name,Found in the PermissionSet Name column where theProfileIdis also defined. It matches the ProfileId with the exception of the key prefix.
CF00N,Custom Field Id used in the query string.,"Note the keyprefix isn't actually CF0. In this case ""CF"" has been appended to the ""00N"" of the Custom Field Definition."
